"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"80025","83-ctrl",-11.3853258963701,4.75393024967625,21964.5,0.586658653846154,0.00123591529288903,0.00923130363747497,100,100
"23269","83-ctrl",-7.11746758727527,5.45580534809924,22199.5,0.592935363247863,0.00123697614716458,0.00923283786746009,100,100
"28969","83-ctrl",-7.97832467778338,5.33107392105595,22163,0.59196047008547,0.00124555428892954,0.00929044052551248,100,100
"51118","83-ctrl",-6.5459020491542,6.15775184514237,22207.5,0.593149038461538,0.00124836870150728,0.00930188461384372,100,100
"9231","47-ctrl",-15.9361278808069,5.48687739197361,3326.5,0.616018518518519,0.000173360035205482,0.00930883014911826,100,100
"9477","83-ctrl",-17.9564819603537,3.02643310205981,21080,0.563034188034188,0.00125325714688063,0.00932855474916045,100,100
"3482","83-ctrl",-7.4228502109439,5.73179665495322,22176.5,0.592321047008547,0.00126377898000279,0.00940039044188157,100,100
"10061","83-ctrl",-17.0248111297022,3.36869676786179,21261,0.56786858974359,0.00126628745943136,0.00940198480987286,100,100
"23187","83-ctrl",-17.9540962804919,3.02695087609854,21078,0.562980769230769,0.00126528708861895,0.00940198480987286,100,100
"22984","83-ctrl",-11.2695755303854,4.99121213307085,21956,0.586431623931624,0.00127301570246386,0.00942941890807432,100,100
"221981","83-ctrl",-6.1607369707623,4.53682249186126,22230,0.59375,0.00127178330618319,0.00942941890807432,100,100
"10056","83-ctrl",-15.7663024024056,3.74856118562397,21467,0.573370726495727,0.00127255516199133,0.00942941890807432,100,100
"8943","47-ctrl",-1.18115677877161,3.69727238292976,3689,0.683148148148148,0.000176856193281594,0.00944954898063489,100,100
"79174","83-ctrl",-14.556259841853,4.21607166327747,21627,0.577644230769231,0.00128146167567895,0.00947965446580046,100,100
"113444","83-ctrl",-14.8289049578049,4.09744560048334,21593,0.576736111111111,0.00128433434352921,0.00949439765048683,100,100
"151195","83-ctrl",-14.7135255877211,3.78772603218201,21625,0.577590811965812,0.00129140222785679,0.00954011241975246,100,100
"10066","83-ctrl",-13.7621336636903,4.14751554676268,21731.5,0.580435363247863,0.00129341612194158,0.00954845431198051,100,100
"79139","83-ctrl",-16.2499001177816,3.56143431455119,21390.5,0.571327457264957,0.00129970953481599,0.00958835612390225,100,100
"57786","83-ctrl",-13.5719820905273,4.32071399165594,21741,0.580689102564103,0.00131559691579109,0.00969231229497149,100,100
"5426","47-ctrl",-19.2894196664416,3.51185156267401,3122.5,0.578240740740741,0.000183293087666552,0.00969746223129951,100,100
"539","83-ctrl",-0.114873959320782,3.42716988563644,22288.5,0.5953125,0.00134273572015076,0.00987203448745718,100,100
"2791","83-ctrl",-14.6974380542018,3.79040982049149,21614.5,0.577310363247863,0.00134476674704999,0.0098735153067419,100,100
"80155","83-ctrl",-8.24341174368083,4.78233812876008,22137,0.591266025641026,0.00134422165518418,0.0098735153067419,100,100
"3270","47-ctrl",-17.1405099610163,4.74989950004286,3264,0.604444444444444,0.000187787759468091,0.00988679652653224,100,100
"10314","83-ctrl",-14.2615836446212,4.22893247044991,21653,0.578338675213675,0.00135126119713937,0.00991445418132237,100,100
"1786","47-ctrl",-3.6939962332835,4.38816201390503,3674.5,0.680462962962963,0.000190176836935657,0.00996397379148809,100,100
"54875","83-ctrl",-7.65031660868199,4.48402076360236,22163,0.59196047008547,0.001361763723257,0.00997794695527007,100,100
"57493","83-ctrl",-14.1547445193878,4.04713416529096,21674,0.578899572649573,0.00136103695845677,0.00997794695527007,100,100
"4521","83-ctrl",-13.2073906634648,4.2612662482206,21777,0.581650641025641,0.00136976789420087,0.0100297862158141,100,100
"93664","83-ctrl",-14.9021101054277,3.74442054154328,21584,0.576495726495726,0.00137464848047119,0.0100518841800309,100,100
"7533","83-ctrl",-4.13061811412493,5.00076607815777,22248,0.594230769230769,0.00137672366680211,0.0100602427459683,100,100
"2872","83-ctrl",-17.6611560594165,3.16872163954615,21114.5,0.563955662393162,0.00138161489919087,0.0100819279048878,100,100
"27020","83-ctrl",-9.54451951605666,5.24145960890998,22050.5,0.588955662393162,0.0013807139465967,0.0100819279048878,100,100
"2108","83-ctrl",-4.19551701167194,6.27338084357572,22234,0.593856837606838,0.00139689641623027,0.0101732139138821,100,100
"83480","83-ctrl",-13.7680459419635,4.28383164061732,21702,0.579647435897436,0.00140560320585959,0.0102297204321258,100,100
"132789","83-ctrl",-17.4707094965306,3.20999218178565,21149,0.564877136752137,0.0014138587554338,0.0102759444763616,100,100
"283209","83-ctrl",-8.8486887413652,4.77887871523847,22093,0.590090811965812,0.00141368213992891,0.0102759444763616,100,100
"23119","83-ctrl",-12.7131655467953,4.58997537368931,21805.5,0.582411858974359,0.00141561386423984,0.0102817768753301,100,100
"51016","83-ctrl",-14.4258059124052,3.92259555637424,21632,0.577777777777778,0.00142080479115272,0.0102848733138238,100,100
"55236","83-ctrl",-10.2231779509602,5.2968433233099,21996.5,0.587513354700855,0.00141734582955017,0.0102848733138238,100,100
"7791","83-ctrl",-16.5252050919089,3.43422650252353,21326.5,0.569618055555556,0.00141992101870426,0.0102848733138238,100,100
